time,lat,lon,depth,mag
18261.79873039352,24.074,121.6908,12210.0,4.6
18261.793699594906,44.0786,150.2151,10000.0,4.8
18261.78365292824,29.5392,104.715,42500.0,4.5
18261.778388136572,30.5338,-42.0589,10000.0,4.8
18261.7369465625,43.9969,150.2063,10000.0,4.5
18261.715469479168,30.1066,142.4084,20570.0,4.7
18261.663542511575,-52.287,13.83,10000.0,4.7
18261.62319215278,-15.0018,167.8518,4460.0,4.6
18261.60830050926,-25.721,-177.3204,100790.0,4.5
18261.49216872685,-7.0742,-80.2824,40210.0,4.5
18261.47418673611,-33.6142,-178.4753,10000.0,5.0
18261.2211199537,1.1925,120.7313,34180.0,4.8
18261.22105707176,20.7562,122.0696,153260.0,4.5
18261.107087199074,-23.3501,-179.7768,525990.0,4.6
18261.08872021991,-33.1134,-178.474,10000.0,4.5
18261.085425613426,-33.2793,-178.4892,10000.0,4.9
18261.02597712963,-55.6728,-26.7957,10000.0,4.6
18261.014684328704,55.2439,161.1917,106720.0,4.5
18260.805751423613,35.5735,74.5666,10000.0,4.5
18260.79051181713,7.2683,-78.7006,10000.0,4.6
18260.78028252315,28.8759,142.4958,10000.0,4.9
18260.759792569446,-37.0797,78.3211,10000.0,4.5
18260.743051053243,35.6334,74.6338,25440.0,5.0
18260.741513333334,-33.3736,-178.9111,10000.0,4.7
18260.739389722225,-37.1387,78.3923,10000.0,4.8
18260.72808358796,35.7053,74.5835,10000.0,4.5
18260.72150084491,35.5898,74.6281,15350.0,5.5
18260.717054699075,35.6686,74.4751,10000.0,4.6
18260.707685046295,6.6822,94.3999,99390.0,4.9
18260.5795209375,27.3933,56.6391,10000.0,4.7
18260.576217905094,27.3836,56.5402,10000.0,5.4
18260.26171596065,-8.3925,-76.1574,128030.0,4.6
18260.225196099538,-54.0379,-133.1704,10000.0,4.7
18260.17442114583,27.8431,142.8263,15900.0,5.2
18260.167746064813,19.7318,-105.2572,35000.0,4.7
18260.02283236111,27.8144,142.804,13900.0,4.9
18259.99529636574,-50.3903,130.7654,10000.0,4.5
18259.767148796294,-52.8602,11.3306,10000.0,5.2
18259.683862222224,-6.3273,154.9682,35000.0,4.8
18259.595072881944,-32.8652,-178.3723,6890.0,4.9
18259.582666782408,-5.5011,151.7733,35000.0,5.1
18259.573304618058,-10.8774,-74.7925,52580.0,4.6
18259.554194502314,4.6795,125.241,36280.0,4.7
18259.50272324074,4.6403,125.3258,48480.0,4.6
18259.499565532406,-17.9442,-178.3275,575360.0,4.5
18259.472328680557,40.3089,42.0871,10000.0,4.5
18259.383507060185,4.6912,125.3986,17490.0,5.2
18259.27390090278,3.1561,123.8185,409280.0,4.5
18259.125822592592,-23.6089,-177.2664,10000.0,4.6
18259.07251946759,29.3405,143.077,10000.0,4.9
