,model_name,dataset_name,random_seed,wandb_url,nll_train,nll_val,nll_test
24,ETAS,ETAS_MultiCatalog,0,/eq-ntpp/release/runs/kzp1xjwl,0.10668854747717141,0.11914644511698531,0.09378262165912965
44,ETAS,ETAS_MultiCatalog,1,/eq-ntpp/release/runs/5dcitybr,0.10668972045350301,0.11914657694172645,0.09378598562855844
45,ETAS,ETAS_MultiCatalog,2,/eq-ntpp/release/runs/ov1vkdo8,0.10668994160282574,0.11914722074480891,0.09378381066862379
46,ETAS,ETAS_MultiCatalog,3,/eq-ntpp/release/runs/doz7vzy4,0.1066883141201644,0.11914591651086648,0.09378258870877701
47,ETAS,ETAS_MultiCatalog,4,/eq-ntpp/release/runs/3fdlhtuv,0.10668909968857129,0.11914640620934262,0.09378442274932537
25,RecurrentTPP,ETAS_MultiCatalog,0,/eq-ntpp/release/runs/o98wx8l6,0.10715941339731216,0.11949201673269272,0.09451942145824432
26,RecurrentTPP,ETAS_MultiCatalog,1,/eq-ntpp/release/runs/uc4gzizm,0.10720328986644745,0.11951341480016708,0.09454263746738434
27,RecurrentTPP,ETAS_MultiCatalog,2,/eq-ntpp/release/runs/wl763vbm,0.10731112211942673,0.11957856267690659,0.09470286965370178
28,RecurrentTPP,ETAS_MultiCatalog,3,/eq-ntpp/release/runs/3kqydfgn,0.10693594813346863,0.11942121386528015,0.09435692429542542
29,RecurrentTPP,ETAS_MultiCatalog,4,/eq-ntpp/release/runs/2wnqu3i9,0.10703843086957932,0.11946199089288712,0.09442422538995743
1,ETAS,QTMSaltonSea,0,/eq-ntpp/release/runs/3nlox76e,-73.82008275479915,-3.757067301958754,-13.02505543864444
31,ETAS,QTMSaltonSea,1,/eq-ntpp/release/runs/2bj7r5ch,-73.82022266605632,-3.7575423586605297,-13.025772602987752
35,ETAS,QTMSaltonSea,2,/eq-ntpp/release/runs/3v2z4bll,-73.81998688936336,-3.7567783599464692,-13.024631683317477
38,ETAS,QTMSaltonSea,3,/eq-ntpp/release/runs/3414l8q6,-73.81909608158807,-3.758115675954012,-13.02218686807215
41,ETAS,QTMSaltonSea,4,/eq-ntpp/release/runs/28ty183a,-73.81947964711024,-3.755239765020286,-13.022396402339899
5,RecurrentTPP,QTMSaltonSea,0,/eq-ntpp/release/runs/17bix10l,-72.69087982177734,-3.8355355262756348,-13.10916519165039
9,RecurrentTPP,QTMSaltonSea,1,/eq-ntpp/release/runs/apse9ebb,-72.94529724121094,-3.8098702430725098,-13.07640266418457
13,RecurrentTPP,QTMSaltonSea,2,/eq-ntpp/release/runs/2k77h38q,-72.87571716308594,-3.8163392543792725,-13.0892972946167
17,RecurrentTPP,QTMSaltonSea,3,/eq-ntpp/release/runs/upx4umzo,-73.01022338867188,-3.8340044021606445,-13.102699279785156
21,RecurrentTPP,QTMSaltonSea,4,/eq-ntpp/release/runs/38umbncz,-72.63369750976562,-3.8228719234466553,-13.085978507995605
0,ETAS,QTMSanJacinto,0,/eq-ntpp/release/runs/3j17k203,-7.442772754212984,-2.9394792753687846,-6.6726363800168755
30,ETAS,QTMSanJacinto,1,/eq-ntpp/release/runs/395479yc,-7.442772754233509,-2.9394800590756267,-6.672636544825013
34,ETAS,QTMSanJacinto,2,/eq-ntpp/release/runs/1t7hd7rx,-7.442772752959483,-2.9394742110285828,-6.672635400903984
37,ETAS,QTMSanJacinto,3,/eq-ntpp/release/runs/2g8h8zbi,-7.442771119912073,-2.939438442696312,-6.672776248328278
40,ETAS,QTMSanJacinto,4,/eq-ntpp/release/runs/2207iet5,-7.4427726910979635,-2.9394240621141328,-6.672622946102787
4,RecurrentTPP,QTMSanJacinto,0,/eq-ntpp/release/runs/1flpwa9e,-7.567898273468018,-2.991349458694458,-6.703819751739502
8,RecurrentTPP,QTMSanJacinto,1,/eq-ntpp/release/runs/3f90ljjm,-7.572630405426025,-2.980236291885376,-6.723277568817139
12,RecurrentTPP,QTMSanJacinto,2,/eq-ntpp/release/runs/28meiqy7,-7.564415454864502,-2.9930784702301025,-6.717584609985352
16,RecurrentTPP,QTMSanJacinto,3,/eq-ntpp/release/runs/m1bbg7g0,-7.613393783569336,-2.9947152137756348,-6.744601726531982
20,RecurrentTPP,QTMSanJacinto,4,/eq-ntpp/release/runs/1wt27ysd,-7.5622992515563965,-2.988868236541748,-6.710782527923584
2,ETAS,SCEDC,0,/eq-ntpp/release/runs/rgdckxoi,-22.635794031030077,-13.488597657488578,-14.2528541168516
32,ETAS,SCEDC,1,/eq-ntpp/release/runs/310l4qzc,-22.636345327197528,-13.49057895752365,-14.255212947364742
42,ETAS,SCEDC,4,/eq-ntpp/release/runs/g4henoxj,-22.634782028365535,-13.485271570565915,-14.248588975647408
48,ETAS,SCEDC,2,/eq-ntpp/release/runs/oznjzfz3,-22.63579772169742,-13.48861333388219,-14.252880413875122
49,ETAS,SCEDC,3,/eq-ntpp/release/runs/3rpnl8le,-22.634103494486794,-13.485866491131349,-14.254963396063763
6,RecurrentTPP,SCEDC,0,/eq-ntpp/release/runs/2fs69x28,-22.81209945678711,-13.566269874572754,-14.168237686157227
10,RecurrentTPP,SCEDC,1,/eq-ntpp/release/runs/35qsrics,-22.858840942382812,-13.624999046325684,-14.220422744750977
14,RecurrentTPP,SCEDC,2,/eq-ntpp/release/runs/3t06g9bk,-22.850419998168945,-13.605151176452637,-14.221885681152344
18,RecurrentTPP,SCEDC,3,/eq-ntpp/release/runs/2fyqci50,-22.875581741333008,-13.636589050292969,-14.260931015014648
